Code_terrain	Secteur	Code_secteur	Type	Numero_unique	Code_unique	Nom_nid_nichoir	Localisation	Position	Orientation	Materiel	Installation - Remarques	INSEE_COM	NOM_COMM	CODE_DEPT	NOM_DEPT	NOM_REGION	LATITUDE	LONGITUDE	ALTITUDE
131	Centre	C	N	N09a	CN09a	Auberge_morge_amont_2	"Pont sous la route principale, dans 4e ""meurtriere"" rive droite en partant de l'aval, tout au fond (il faut mettre le bras entier!)"	RD	Donne vers RG	RAS	2015 (et surement 2014)	73233	SAINT-FRANC	73	SAVOIE	RHONE-ALPES	45,4721171	5,7389563	371
70	Centre	C	N	N10a	CN10a	Fourvoirie	Deux nids sur rocher en surplomb juste en aval de l'usine. Descente en aval RG.	RD	RAS	Petite echelle	2014 et 2015	38412	SAINT-LAURENT-DU-PONT	38	ISERE	RHONE-ALPES	45,3799296	5,7455063	436
71	Centre	C	N	N11a	CN11a	Laurent_amont	Nid dans rochers rive droite juste au moment de la mini-cascade (limite de la reserve de peche)	RD	RAS	RAS	2015 : nid pret mais inactif	38412	SAINT-LAURENT-DU-PONT	38	ISERE	RHONE-ALPES	45,3854306	5,7360113	412
73	Centre	C	N	N12a	CN12a	Laurent_centre_2	Vieux nids sous pont central	RAS	RAS	Echelle 3 pans		38412	SAINT-LAURENT-DU-PONT	38	ISERE	RHONE-ALPES	45,3872692	5,7370412	411
60	Centre	C	N	N13a	CN13a	Demay_2	Entre poutrelles au-dessus du nichoir	RD	RAS	RAS	Juste sous poutre, en aval du nichoir, rive droite - utilis? en 2014 et 2015	38405	SAINT-JOSEPH-DE-RIVIERE	38	ISERE	RHONE-ALPES	45,3628817	5,6794717	437
62	Centre	C	N	N14a	CN14a	Sirandiere_aval	Sur racines en surplomb apres le tournant vers la droite, environ 80 m en aval du nichoir	RD	Donne vers l'amont	RAS	2014	38405	SAINT-JOSEPH-DE-RIVIERE	38	ISERE	RHONE-ALPES	45,3678180	5,6822705	424
64	Centre	C	N	N15a	CN15a	Joseph_centre	Vieux nids en a chaque entree du tunnel (amont et aval) sous route centrale centre ville. Descente en amont RG par escaliers. Attention aux chevrons en beton dans tunnel.	RG (aval)	RAS	Lampe	2014 et 2015	38405	SAINT-JOSEPH-DE-RIVIERE	38	ISERE	RHONE-ALPES	45,3758996	5,6972600	413
66	Centre	C	N	N16a	CN16a	Nesmes_amont	Debut de nid RD sous pont	RD	RAS	RAS	2018	38405	SAINT-JOSEPH-DE-RIVIERE	38	ISERE	RHONE-ALPES	45,3750530	5,7024820	445
106	Centre	C	N	N17a	CN17a	Ferraillere_2	Sous le pont qui s'ecroule	RAS	RAS	Lampe	2015	38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4128070	5,7085669	474
107	Centre	C	N	N17a	CN17a	Ferraillere_3	Sous le pont qui s'ecroule	RAS	RAS	Lampe	2015	38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4128070	5,7085669	474
109	Centre	C	N	N18a	CN18a	Allegrets	Sous pont en amont de Bourgeat, affluent qui arrive rive droite	RAS	RAS	RAS	2014	38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4201272	5,7137704	433
111	Centre	C	N	N19a	CN19a	Bourgeat_aval	Sous racines en aval d'une petite cascade, rive gauche. Acces soit en suivant la route puis en traversant le champs soit par Bourgeat en longeant la riviere	RG	RAS	RAS		38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4236664	5,7179117	428
76	Centre	C	N	N20a	CN20a	Villette_2	Sous pont du nichoir	RAS	RAS	RAS		38412	SAINT-LAURENT-DU-PONT	38	ISERE	RHONE-ALPES	45,4037533	5,7209587	396
79	Centre	C	N	N21a	CN21a	Grenats_aval	"En aval du nichoir, dans petit tunnel sous la route ""chemin des pecheurs"""	RD	RAS	Lampe		38412	SAINT-LAURENT-DU-PONT	38	ISERE	RHONE-ALPES	45,4137748	5,7383126	389
80	Centre	C	N	N22a	CN22a	Bauches_amont_1	Site de capture					38155	ENTRE-DEUX-GUIERS	38	ISERE	RHONE-ALPES	45,4172900	5,7429360	386
81	Centre	C	N	N23a	CN23a	Bauches_amont_2	Site de capture					38155	ENTRE-DEUX-GUIERS	38	ISERE	RHONE-ALPES	45,4185440	5,7453870	386
90	Centre	C	N	N24a	CN24a	Perchet_amont	Dans tunnel sous la maison, en amont du pont du nichoir. Descente en aval RD. Petit renfoncement carre, bien regarder au fond en haut a gauche.	RD	Donne vers RG	Lampe		38376	SAINT-CHRISTOPHE-SUR-GUIERS	38	ISERE	RHONE-ALPES	45,4402416	5,7737607	400
102	Centre	C	N	N25a	CN25a	Billard_aval	Dans cavite (assez profond donc bien regarder) au niveau des rochers de la mini-cascade, a 20 m en aval du pont vers le milieu de la riviere	Milieu	Donne vers l'aval	Veste impermeable		38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4456954	5,7361186	375
97	Centre	C	N	N26a	CN26a	Maillet_aval	Nid dans les trous du mur rive gauche a environ 50 m en aval du pont	RG	RAS	RAS		73105	LES ECHELLES	73	SAVOIE	RHONE-ALPES	45,4422177	5,7399487	372
165	SPEntremont	E	B	B01a	EB01a	Pisse_guiers	Sous passerelle en bois	RD	Donne vers RG	RAS		73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,3951879	5,8915043	881
164	SPEntremont	E	B	B02a	EB02a	Drugey	Sous petit pont	RG	Donne vers l'aval		Raccroche en septembre 2014	73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,3998738	5,8909893	856
161	SPEntremont	E	B	B03a	EB03a	Curiaz	Descente en aval RD, attention profond si bcp d'eau	RD	Donne vers l'aval	Echelle ?		73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4029473	5,8856463	811
159	SPEntremont	E	B	B04a	EB04a	Meme_bas	RAS	RG	Donne vers RD	RAS		73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4071128	5,8792842	757
157	SPEntremont	E	B	B05a	EB05a	Bournant	Sous petit pont, attention tres profond	A COMPLETER		RAS	Non remis	73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4076780	5,8757560	746
153	SPEntremont	E	B	B06a	EB06a	SPE_bourg	Acces derriere maison, petit chemin qui descend (vers borne incendie numero 37)	RG	Donne vers l'amont	Escabeau		38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,4143642	5,8549565	643
154	SPEntremont	E	B	B07a	EB07a	SPE_centre	Nid sous pont central. Descente en aval RG. Regarder poutrelles, possibilite de nid naturel	RG	Donne vers RD	RAS		73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4165576	5,8543611	639
167	SPEntremont	E	B	B08a	EB08a	SPE_aval	Acces en traversant la cour (ouverte) de la scierie (pont menant a propriete privee, acces via rive droite seulement). Descente en aval RG.	RG / Milieu	Donne vers RG	Echelle telescopique	Arrache par crue du 29 mars, replace le 02 avril, meme cote en amont.	73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4167891	5,8520383	635
196	SPEntremont	E	B	B09a	EB09a	Plan_martin	Descente en aval RD	RD	Donne vers RG	RAS	Emporte par crue 2018	73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4603865	5,8904207	880
195	SPEntremont	E	B	B10a	EB10a	Doet	Descente en amont RD	RD	Donne vers RG	RAS	Pose le 10 mars 2017	73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4619066	5,8891225	890
191	SPEntremont	E	B	B11a	EB11a	Ourson	Sous grand pont vers camping	A COMPLETER				73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4528156	5,8822989	828
192	SPEntremont	E	B	B12a	EB12a	Bessons	A COMPLETER				Disparu debut mars 2015, remplace le 13 mars 2015	73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4517770	5,8777928	869
188	SPEntremont	E	B	B13a	EB13a	Epernay_sud	A COMPLETER				Remplace le precedent nichoir situe sur ruisseau de la Gliere, sous le long tunnel, acces par l'aval (en amont du nid naturel 2015)	73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4503498	5,8817585	820
185	SPEntremont	E	B	B14a	EB14a	Derbetemps	A COMPLETER			Echelle		73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4469524	5,8781469	807
183	SPEntremont	E	B	B15a	EB15a	Boucherin	Descente en aval RD. Piscine mais pas de courant et pas trop d'eau	RG	Donne vers RD	Echelle 2m	Disparu debut mars 2015 (emporte par l'eau?) - Remplace plus haut	73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4368276	5,8771920	760
180	SPEntremont	E	B	B16a	EB16a	Pont_lac	Descente en amont RD (passer au dessus petit portail et longer la maison)	RD	Donne vers RG	RAS		73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4321711	5,8718008	721
179	SPEntremont	E	B	B17a	EB17a	Joubert	Descente en amont RG	RD	Donne vers RG	RAS	Disparu debut mars 2015, remplace le 13 mars 2015	73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4296150	5,8695745	692
178	SPEntremont	E	B	B18a	EB18a	Cret	Sous pont en pierres route principale. Descente en amont RD	RD	Donne vers l'aval	RAS		73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4280488	5,8676863	680
174	SPEntremont	E	B	B19a	EB19a	SPE_Amblard	Sous petit pont affluent RG juste en amont de Moulins. Descente en amont	A COMPLETER		Petite echelle	2018	73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4251880	5,8663170	669
172	SPEntremont	E	B	B20a	EB20a	Moulins	Descente en aval RG (attention petit passage escalade)	RG	Donne vers l'aval	Echelle telescopique ou 3 pans	"Detruit pendant l'ete / automne 2014. Remplace le 13 mars 2015 - disparu en 2016-2017; replace novembre 2017"	73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4252817	5,8656371	663
175	SPEntremont	E	B	B21a	EB21a	Fracette	Descente en amont RG	RD	Donne vers RG	RAS		73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4261589	5,8636308	684
169	SPEntremont	E	B	B22a	EB22a	SPE_cozon	Pont vers Eglise. Descente en amont RD (petits escaliers)	Milieu	Donne vers l'aval	RAS		73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4181391	5,8550423	637
139	SPEntremont	E	B	B23a	EB23a	Planolet	Sous pont petit affluent. Descente en aval RG	Milieu	Donne vers l'aval	RAS		38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3700868	5,8392334	1052
140	SPEntremont	E	B	B24a	EB24a	Sarra	Chemin carrossable. Descente en aval RD.	A COMPLETER		RAS		38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3727097	5,8421302	1001
142	SPEntremont	E	B	B25a	EB25a	Philibert_amont	Sous petit pont assez bas	A COMPLETER		RAS		38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3786334	5,8467221	930
143	SPEntremont	E	B	B26a	EB26a	Philibert_eglise	Sous pont vers Eglise	A COMPLETER	Donne vers l'aval	RAS		38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3800738	5,8487620	918
147	SPEntremont	E	B	B27a	EB27a	Malissard	Sous pont route principale. Descente en amont RG.	RG	Donne vers RD	RAS		38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3787163	5,8558846	908
138	SPEntremont	E	B	B28a	EB28a	Reys_grenaz	Descente en amont RG	A COMPLETER		RAS		38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3857396	5,8426988	964
137	SPEntremont	E	B	B29a	EB29a	Reys_nant	Descente en amont RG	A COMPLETER		RAS		38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3920009	5,8431387	924
146	SPEntremont	E	B	B30a	EB30a	Cloitres	Acces en suivant la riviere depuis Philibert_cascade ou depuis hammeau des Cloitres. Sous passerelle penchee	Milieu	Donne vers l'amont	RAS	Pose le 07/12/2017 mais a raccrocher avec une chambre a air	38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3844209	5,8506918	841
148	SPEntremont	E	B	B31a	EB31a	Vassaux	Emprunter chemin qui descend vers le garage Bondat. En bas de ce chemin, prendre a droite et continuer jusqu'au pont	RG	Donne vers RD	RAS		38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3888816	5,8500695	811
150	SPEntremont	E	B	B32a	EB32a	Chatelard	Descendre par chemin juste au niveau de la sortie du Grd Chenevey, rester sur le chemin qui part a droite en descendant. Nichoir sous pont en rondins de bois	RD	Donne vers RD	RAS	Pose le 07/12/2017	38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3985479	5,8541572	740
136	SPEntremont	E	B	B33a	EB33a	Combes	Descente en aval RD	Milieu / aval	Donne vers l'aval	RAS		38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,4055762	5,8476019	763
133	SPEntremont	E	B	B34a	EB34a	Preversin	A COMPLETER			RAS	Non remis	38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,4097280	5,8524680	665
152	SPEntremont	E	B	B35a	EB35a	Guiguets	Pont vers le restaurant l'Herbe tendre. Acces en amont RD.	RG	Donne vers l'aval	RAS	Disparu au printemps 2015, non refixe en 2015 car pont en renovation - refixe novembre 2015	38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,4132061	5,8540499	649
198	SPEntremont	E	B	B36a	EB36a	Gringalet	A COMPLETER				Pose le 10 mars 2017	73092	CORBEL	73	SAVOIE	RHONE-ALPES	45,4276573	5,8303714	668
199	SPEntremont	E	B	B37a	EB37a	Riou_brigoud	Decsendre en aval RD	A COMPLETER			Pose le 10 mars 2017	38376	SAINT-CHRISTOPHE-SUR-GUIERS	38	ISERE	RHONE-ALPES	45,4188169	5,8163595	626
197	SPEntremont	E	N	N01a	EN01a	Plan_martin_aval	Sur les couches de rochers a l'aplomb de la riviere - vieux nid a cote. Acces par chemin qui passe entre les maison puis descendre dans champs, on retrouve un petit sentier qui mene a la riviere	RG	RAS	RAS		73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4594910	5,8887899	872
193	SPEntremont	E	N	N02a	EN02a	Bessons_2	Dans trou tres haut au niveau de la jonction entre les deux parties differentes du pont. Bien regarder.	RD	Donne vers l'aval	"Echelle telescopique ou 3 pans ; Lampe"	2018	73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4517770	5,8777928	869
194	SPEntremont	E	N	N03a	EN03a	Bessons_cascade	Sur falaise au niveau de la grande cascade en aval de Besson. Descente par petit chemin de pecheur en aval RG.	RD	Donne vers l'aval	RAS	2018	73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4525898	5,8796275	860
189	SPEntremont	E	N	N04a	EN04a	Epernay_sud_2	Dans fente barre de fer du pont	RD /aval	Donne vers l'amont	Echelle telescopique		73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4503649	5,8816298	820
190	SPEntremont	E	N	N05a	EN05a	Epernay_sud_affluent	Nid dans tunnel petit affluent. Sur rocher	RG	RAS	Lampe		73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4503883	5,8831036	833
187	SPEntremont	E	N	N06a	EN06a	Derbetemps_cascade	Acces depuis champs RG	RG		En rappel		73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4477126	5,8786726	812
186	SPEntremont	E	N	N07a	EN07a	Derbetemps_gorges	A COMPLETER					73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4450781	5,8785653	798
184	SPEntremont	E	N	N08a	EN08a	Chivolande	Dans falaise juste en aval de la passerelle Chivolande	RG	RAS	En rappel	2018	73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4431586	5,8788443	778
182	SPEntremont	E	N	N09a	EN09a	Pont_lac_amont	Au niveau du barrage en amont du site de peche a la truite. Sur rocher RG, bien chercher car peu visible. Acces en aval RD et travaerser la riviere	RG	Donne vers l'aval	RAS	2018	73107	ENTREMONT-LE-VIEUX	73	SAVOIE	RHONE-ALPES	45,4336656	5,8739520	752
181	SPEntremont	E	N	N10a	EN10a	Pont_lac_2	Sous passerelle, tres haut			Echelle 3 pans	Appele Joubert amont en 2017	73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4321015	5,8717149	721
177	SPEntremont	E	N	N11a	EN11a	Fracette_cascade	A la fin de la grande cascade, cote jardin, rive droite	RD	RAS	RAS	2014	73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4260535	5,8662808	668
176	SPEntremont	E	N	N12a	EN12a	Fracette_2	Dans cascade juste a cote du nichoir	A COMPLETER		RAS		73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4260685	5,8637220	684
173	SPEntremont	E	N	N13a	EN13a	Moulins_2	Sur le bord du pont, cote amont, rive gauche	RG / amont	RAS	Echelle telescopique ou 3 pans	2015	73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4252516	5,8655513	663
171	SPEntremont	E	N	N14a	EN14a	Fracette_sud	Sur rocher juste en contrebas de la route. Acces en amont depuis la petite aire de repos, longer RG entre la riviere et la route	RG	Donne vers l'amont / RD	Echelle	2014 et 2015 (2015: Echelle - sur mEme mur que nid 2014)	73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4233389	5,8621019	658
170	SPEntremont	E	N	N15a	EN15a	SPE_cozon_cascade	Dans trou sous la cascade artificielle	RD		Escabeau	2017	73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4191671	5,8565229	641
166	SPEntremont	E	N	N16a	EN16a	Guiers_cascade	Nid dans rocher/cascade (observations) en aval de la grande cascade. Inaccessible	RAS	RAS	Inaccessible		73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,3942612	5,8917189	912
163	SPEntremont	E	N	N17a	EN17a	Drugey_aval	Sur rocher au juste avant le tournant, rive gauche	RG	RAS	RAS	2016	73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4001375	5,8907104	855
162	SPEntremont	E	N	N18a	EN18a	Cirque_aval	Localisation incertaine, suivre petit chemin et passer 1ers barbeles, le nid est rive gauche sur gros rochers au niveau 2nd barbele	RG	RAS	RAS		73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4012900	5,8897930	849
160	SPEntremont	E	N	N19a	EN19a	Salamandre_verte	Site de capture - nid non trouve				2018	73275	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4059970	5,8816590	773
158	SPEntremont	E	N	N20a	EN20a	Bournant_cascade	Dans cascade juste apres le barrage, rive gauche - innaccessible! piscine profonde devant et pas de rappel possible (en devers) - a surveiller de loin. Acces depuis la route, descendre dans foret (passer au dessus gros tuyau) ou acces depuis pont, suivre le chemin RG qui longe la riviere	RG	RAS	Jumelles		73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4076777	5,8755344	746
156	SPEntremont	E	N	N21a	EN21a	Freney_cascade	Au niveau petite cascade au dessus de la gde cascade en amont de l'usine hydroelectrique (Le Foulon). Acces plus court depuis la route en descendant dans la foret.	RD	RAS	En rappel	Trouve en 2018	73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4091955	5,8666456	697
155	SPEntremont	E	N	N22a	EN22a	SPE_amont	Nid au niveau du barrage, rive droite 	RD	RAS	RAS	2016 mais barrage refait entirement en 2017 donc plus de mur favorable	38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,4123777	5,8567321	652
141	SPEntremont	E	N	N23a	EN23a	Sarra_2	Sous meme pont que nichoir	A COMPLETER		RAS		38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3727097	5,8421302	1001
144	SPEntremont	E	N	N24a	EN24a	Philibert_eglise_2	Sous meme pont que nichoir	RAS	RAS	Lampe		38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3800201	5,8486962	918
145	SPEntremont	E	N	N25a	EN25a	Philibert_cascade	"Acces en contournant maison a cote Eglise puis continuer jusqu'au chemin qui longe la riviere. Le nid est plutot au milieu/bas de la serie de ""cascades"" (au niveau de 3 arbres tombes enchevetres, juste avant un goulet de gros rochers"	RD	RAS	RAS	2017	38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3823260	5,8488679	908
149	SPEntremont	E	N	N26a	EN26a	Reys	A COMPLETER					38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3944797	5,8519793	765
151	SPEntremont	E	N	N27a	EN27a	Chatelard_aval	Nid sur gros rocher (avec 2 troncs tombes dessus) recouvert de mousse donc bien regarder car nid non visible ! Acces en longeant la riviere depuis pont au nichoir ou bien descente a partir de la sorte de plateforme	RG	Donne vers RD / aval	RAS	2018 (predation)	38447	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,3994934	5,8539507	730
135	SPEntremont	E	N	N28a	EN28a	Preversin_amont	Nid sur falaise a environ 1 m de hauteur	RD	RAS	RAS	2018	38448	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,4067249	5,8522743	685
134	SPEntremont	E	N	N29a	EN29a	Preversin_2	A COMPLETER			RAS	2014 - 2015: nid emporte par crue	38446	SAINT-PIERRE-D'ENTREMONT	38	ISERE	RHONE-ALPES	45,4096250	5,8524410	665
168	SPEntremont	E	N	N30a	EN30a	SPE_aval_2	Sous passerelle, rive droite (attention trou profond juste devant)	RD	RAS	Echelle telescopique	2015 et 2016	73274	SAINT-PIERRE-D'ENTREMONT	73	SAVOIE	RHONE-ALPES	45,4167778	5,8519954	635
200	Fure	F	B	B01a	FB01a	Grand_clos	Sur le cote du pont RG car passage de l'eau etroit et donc tres profond sous le pont	RG		RAS		38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4290992	5,5165503	490
201	Fure	F	B	B02a	FB02a	Caserne	Sur le cote du pont RG car passage de l'eau etroit et donc tres profond sous le pont	RG		RAS		38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4263246	5,5194014	490
203	Fure	F	B	B03a	FB03a	Bosquet_plan	Acces par l'ecalier qui descend a l'eau	A COMPLETER		RAS		38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4206393	5,5197179	484
205	Fure	F	B	B04a	FB04a	Cote_furens	Sous pont vers maison. Acces facile en aval RD.	RG	Donne vers l'amont	Petite echelle		38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4177023	5,5256510	478
206	Fure	F	B	B05a	FB05a	Guillermet	2eme pont, voute, a cote de l'arret de bus (le plus loin de la route, le 1er pont etant plus bas)	A COMPLETER				38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4135555	5,5310493	470
207	Fure	F	B	B06a	FB06a	Guillermet_aval	A l'entree amont du tunnel. Acces par usine RD (echelle de service jaune) et longer le mur RG (attention irregulier)	RG	Donne vers RD	Petite echelle		38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4128804	5,5311521	470
211	Fure	F	B	B07a	FB07a	Papeterie	Pont en aval de la papeterie principale, en aval de la station d'epuration	A COMPLETER		RAS		38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4092821	5,5324101	458
214	Fure	F	B	B08a	FB08a	Fontenettes	Pas sous un pont, mais sur une structure ancienne d'irrigation (sorte de vanne). Acces depuis chemin Papeterie puis traverser champs	RG	Donne vers RD	RAS		38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,4046874	5,5331826	449
215	Fure	F	B	B09a	FB09a	Planes	Acces en amont RG, chemin de descente facile	Milieu / amont	Donne vers l'amont	RAS		38082	CHARAVINES	38	ISERE	RHONE-ALPES	45,3982541	5,5339766	442
218	Fure	F	B	B10a	FB10a	Bonpertuis	Descente par petit chemin en amont du pont, rive gauche 	A COMPLETER		RAS		38368	SAINT-BLAISE-DU-BUIS	38	ISERE	RHONE-ALPES	45,3951803	5,5291647	435
219	Fure	F	B	B11a	FB11a	Bonpertuis_passerelle	Sous passerelle qui mene aux jardins potagers, derriere usine, descendre en aval rive droite et remonter qq m au niveau du seuil (attention courant)	A COMPLETER		RAS		38013	APPRIEU	38	ISERE	RHONE-ALPES	45,3929954	5,5274534	430
221	Fure	F	B	B12a	FB12a	Ravignhouse	Descente en aval RG	RG	Donne vers RD	RAS		38368	SAINT-BLAISE-DU-BUIS	38	ISERE	RHONE-ALPES	45,3930708	5,5207372	423
223	Fure	F	B	B13a	FB13a	Brosses	Sous passerelle entre deux champs. Acces par chemin qui descend apres les maisons. Se garer dans l'herbe au bord de la route principale	Milieu	Donne vers l'aval	RAS		38368	SAINT-BLAISE-DU-BUIS	38	ISERE	RHONE-ALPES	45,3917975	5,5126692	413
224	Fure	F	B	B14a	FB14a	Planche_cattin	Nichoir sous pont bas sous maison! Descente en aval RG	A COMPLETER		RAS		38368	SAINT-BLAISE-DU-BUIS	38	ISERE	RHONE-ALPES	45,3905939	5,5048049	407
226	Fure	F	B	B15a	FB15a	Billionnieres_amont	Au fond du tunnel qui passe sous entrepot. Verifier aussi trous dans parpaings au-dessus de la retenue d'eau vers le fond et plus vers l'entree du tunnel	A COMPLETER			A poser ?	38368	SAINT-BLAISE-DU-BUIS	38	ISERE	RHONE-ALPES	45,3896144	5,5015366	406
228	Fure	F	B	B16a	FB16a	"Billionnieres_""amont"""	Sous 1er pont (rive droite, par rapport au pont suivant)	RD	RAS	RAS		38368	SAINT-BLAISE-DU-BUIS	38	ISERE	RHONE-ALPES	45,3887837	5,5005133	405
229	Fure	F	B	B17a	FB17a	Billonnieres	2eme pont, a cote de la rue de la Fure (la Fure se separe en deux a cet endroit, verifier le 2e pont aussi!)	A COMPLETER				38368	SAINT-BLAISE-DU-BUIS	38	ISERE	RHONE-ALPES	45,3883024	5,4996536	405
231	Fure	F	B	B18a	FB18a	Rivier_cascade	Sous pont au-dessus de la chute d'eau. En haut de la grande cascade a la fin du canal (en aval de Billonnieres)	A COMPLETER				38013	APPRIEU	38	ISERE	RHONE-ALPES	45,3838557	5,4987001	401
230	Fure	F	B	B19a	FB19a	Rivier	Sur bras presque mort a 3 m du cours principal. Possibilite nichoir sous passerelle suivante, au-dessus du cours principal, mais avec chambre a air (poutrelles metal). Descendre a pied le long du chemin	A COMPLETER				38013	APPRIEU	38	ISERE	RHONE-ALPES	45,3830306	5,4992150	394
